자전거번호,등록일시,구분
SPB-35835,2023-01-02 23:43,기타 
SPB-53845,2023-01-03 0:06,안장
SPB-31470,2023-01-03 0:27,기타 
SPB-38724,2023-01-03 0:40,안장
SPB-38336,2023-01-03 1:08,타이어 
SPB-33131,2023-01-03 2:03,기타 
SPB-47716,2023-01-03 2:06,기타 
SPB-47333,2023-01-03 3:09,체인
SPB-62399,2023-01-03 5:52,페달
SPB-54531,2023-01-03 5:59,페달
SPB-43896,2023-01-03 6:14,안장
SPB-50953,2023-01-03 6:17,체인
SPB-39408,2023-01-03 6:23,기타 
SPB-40039,2023-01-03 6:25,기타 
SPB-31365,2023-01-03 6:31,기타 
SPB-62514,2023-01-03 6:31,타이어 
SPB-56890,2023-01-03 6:34,안장
SPB-45464,2023-01-03 6:36,타이어 
SPB-48378,2023-01-03 6:39,기타 
SPB-31508,2023-01-03 6:48,페달
SPB-41278,2023-01-03 6:49,체인
SPB-80299,2023-01-03 6:51,체인
SPB-44757,2023-01-03 6:53,페달
SPB-65403,2023-01-03 6:57,기타 
SPB-39022,2023-01-03 7:05,기타 
SPB-56171,2023-01-03 7:14,체인
SPB-56171,2023-01-03 7:14,페달
SPB-49154,2023-01-03 7:18,안장
SPB-44902,2023-01-03 7:22,기타 
SPB-56360,2023-01-03 7:27,체인
SPB-56360,2023-01-03 7:27,기타 
SPB-35340,2023-01-03 7:30,안장
SPB-39346,2023-01-03 7:38,기타 
SPB-42500,2023-01-03 7:39,안장
SPB-34936,2023-01-03 7:42,체인
SPB-50462,2023-01-03 7:48,타이어 
SPB-50462,2023-01-03 7:48,안장
SPB-50462,2023-01-03 7:48,기타 
SPB-41790,2023-01-03 7:48,체인
SPB-30518,2023-01-03 7:49,기타 
SPB-59588,2023-01-03 7:52,타이어 
SPB-59588,2023-01-03 7:52,체인
SPB-32236,2023-01-03 7:52,타이어 
SPB-32236,2023-01-03 7:52,기타 
SPB-65819,2023-01-03 7:55,안장
SPB-36022,2023-01-03 7:55,기타 
SPB-59731,2023-01-03 7:58,타이어 
SPB-63460,2023-01-03 8:00,페달
SPB-63460,2023-01-03 8:00,기타 
SPB-37028,2023-01-03 8:08,기타 
SPB-64884,2023-01-03 8:08,안장
SPB-52087,2023-01-03 8:11,페달
SPB-65006,2023-01-03 8:14,안장
SPB-36519,2023-01-03 8:14,기타 
SPB-57016,2023-01-03 8:17,기타 
SPB-52773,2023-01-03 8:22,단말기
SPB-52773,2023-01-03 8:22,기타 
SPB-42071,2023-01-03 8:23,기타 
SPB-37921,2023-01-03 8:26,체인
SPB-58418,2023-01-03 8:26,타이어 
SPB-58418,2023-01-03 8:26,안장
SPB-57521,2023-01-03 8:29,기타 
SPB-37078,2023-01-03 8:30,타이어 
SPB-37078,2023-01-03 8:30,체인
SPB-54208,2023-01-03 8:31,기타 
SPB-57643,2023-01-03 8:34,체인
SPB-52485,2023-01-03 8:35,기타 
SPB-62039,2023-01-03 8:41,기타 
SPB-59904,2023-01-03 8:43,기타 
SPB-48196,2023-01-03 8:44,기타 
SPB-54432,2023-01-03 8:44,기타 
SPB-83610,2023-01-03 8:45,기타 
SPB-49297,2023-01-03 8:46,기타 
SPB-45993,2023-01-03 8:48,타이어 
SPB-53492,2023-01-03 8:49,페달
SPB-53492,2023-01-03 8:49,기타 
SPB-64035,2023-01-03 8:50,체인
SPB-64035,2023-01-03 8:50,페달
SPB-53191,2023-01-03 8:51,체인
SPB-53191,2023-01-03 8:51,페달
