 이용건수,이동거리(M),이용시간(분),고장구분,cluster,pca_x,pca_y
181873,438752706.0,3594153,762,0,141708543.01040956,-150657.24010520775
161784,376364357.43,3057944,673,3,79317890.76670603,-172350.976358892
93551,221929999.35,1912017,274,1,-75120680.31166376,-45181.90720167747
192380,476598101.85,3953709,772,0,179555618.4477077,-103264.65427046221
196516,487750074.08,4091965,742,0,190708352.34954348,-56979.67016610238
155928,423402608.13,3650878,473,0,126359426.8477477,32074.801612242452
133560,381732617.85,3158529,458,3,84686788.16919465,-116798.7794513365
59287,117411011.58,1070116,185,2,-179643062.4784448,-25151.580234566372
179787,446414658.25,3723030,804,0,149371296.3336898,-85102.52889062946
185926,439633395.11,3661892,687,0,142589762.09069377,-90108.37248429228
35324,70195563.84,569407,74,2,-226861039.2320025,-136660.58423744122
155249,367107781.07,3207827,531,3,70062863.38944523,53704.42430928657
138847,364457133.58,3166817,458,3,67411962.41073966,34175.136484651586
132514,374883758.97,3145409,459,3,77838054.00099927,-73423.2759802606
171024,398365583.19,3332332,748,3,101320632.9957154,-79382.25668808084
79770,158026607.35,1313278,312,2,-139026837.8650856,-116725.8063510313
171937,430723303.27,3694210,716,0,133680235.43844905,15378.20406759533
185513,436953448.88,3701253,736,0,139910231.56823897,-28656.05857492669
191205,464555165.4,3982344,679,0,167513327.8807472,24710.063160553622
154422,433617626.19,3718420,454,0,136574653.4516658,15261.856119165479
81833,234153514.45,1907814,303,1,-62897620.17083864,-150542.6253138126
159152,377141570.29,3244569,644,3,80096615.18940929,7731.538917144332
56816,113519882.12,937343,191,2,-183535155.1179273,-125830.82150466231
168413,389893865.47,3370710,742,3,92849519.38322881,28826.760802283676
41162,73711735.61,584592,138,2,-223344860.00794047,-150351.61960240232
24223,37786434.7,392072,63,2,-259270530.69501683,-46769.27103234574
69393,138572073.02,1372553,236,2,-158480224.36497754,102811.08837206983
93350,216243893.05,2013989,333,1,-80805752.15140225,103672.20302911967
147342,305517417.03,2765011,600,3,8470942.779687645,119088.73460107636
118187,277172146.76,2396258,505,1,-19876412.82749143,-16355.130699643783
173221,399610035.91,3435635,776,3,102565895.92908643,13670.68882137456
169873,388311242.57,3335961,724,3,91266664.33754759,7185.643908976324
160859,356457797.93,3117052,655,3,59412496.336715214,50983.344837946606
84757,185972491.11,1669795,261,1,-111078964.30345443,9183.030897818746
31836,70825920.22,633960,102,2,-226230173.1984289,-77417.7705289727
161068,384337918.26,3287568,759,3,87293073.29507211,-8621.091180393043
158701,355435040.99,3079534,671,3,58389464.11649827,21864.478948096057
146478,321838593.8,2814931,582,3,24791975.036966126,34287.54242393804
159891,362544467.71,3129714,630,3,65499062.9001559,13389.688559853854
153266,343534277.19,2999828,593,3,46488446.51364228,40256.374564123544
119931,310980229.54,2691243,401,3,13932951.595232522,-412.676398481507
81861,199275929.7,1732559,276,1,-97775462.22813514,-37926.45531012642
145076,333053191.73,2860983,628,3,36006570.29400392,-12254.05304711857
152759,341032789.59,2932168,682,3,43986486.00444147,-6750.771452878245
